Defect_ID,Title,Created_Date,Created_By,Priority,Severity,Status,Triage_Category,Triage_Assignment,Director,Assignee,Component,Target_Release,Found_In_Release,Last_Updated_Date,Resolution
ROCm-1032,RCCL (Comms): Performance regression after upgrading to ROCm 6.3,2025-11-05,Leila Nouri,High,S3 - Major,In Review,RCCL (Comms),Runtime Team,SAM,Alex Chen,RCCL,ROCm 6.3,ROCm 6.3,2026-01-15,
ROCm-1033,HIP Runtime: HIP event timing reports negative duration,2025-09-08,Aisha Patel,Low,S4 - Minor,In Progress,HIP Runtime,Runtime Team,SAM,Rania Hassan,HIP Runtime,ROCm 6.3,ROCm 6.3,2025-11-25,
ROCm-1034,ROCm Debugger (ROCgdb): Kernel launch overhead increased by 2x in ROCm 6.1,2025-09-25,Leila Nouri,Medium,S4 - Minor,Won't Fix,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Leila Nouri,ROCm Debugger,ROCm 7.0,ROCm 6.1,2025-11-03,Won't Fix
ROCm-1035,RCCL (Comms): rocFFT output NaN for specific input dimensions,2025-10-14,Ivan Petrov,Medium,S4 - Minor,Resolved,RCCL (Comms),Runtime Team,SAM,David Kim,RCCL,ROCm 6.2,ROCm 6.2,2025-12-16,Won't Fix
ROCm-1036,Driver: Build failure on Ubuntu 22.04 with ROCm 6.3,2025-10-25,Aisha Patel,High,S3 - Major,In Progress,Driver / KFD,Driver Team,SAM,Aisha Patel,Driver,ROCm 7.0,ROCm 6.2,2026-02-13,
ROCm-1037,rocFFT: Kernel launch overhead increased by 2x in ROCm 6.2,2025-11-09,Alex Chen,Low,S4 - Minor,In Progress,rocFFT,Math Libraries Team,Kumar,Jake Thompson,rocFFT,ROCm 6.2,ROCm 6.2,2025-12-30,
ROCm-1038,Documentation: API hipFFT_plan not returning expected error code,2025-10-14,Fatima Al-Zahra,Medium,S4 - Minor,Open,Documentation,Documentation Team,Ravi,,Documentation,Backlog,ROCm 6.1,2026-02-02,
ROCm-1039,ROCm Debugger (ROCgdb): Crash observed on MI300X when calling hipDeviceSynchronize,2025-12-06,Jake Thompson,Low,S4 - Minor,Open,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,,ROCm Debugger,ROCm 6.3,ROCm 6.2,2026-01-30,
ROCm-1040,Performance: Documentation missing for rccl_allreduce edge cases,2025-12-18,Tyler Brooks,Critical,S2 - Critical,Resolved,Performance / Profiling,Tools & Infra Team,Philips,Yuki Tanaka,Performance,ROCm 6.4,ROCm 6.2,2026-01-02,Duplicate
ROCm-1041,Performance: rocgdb breakpoints not hitting in device code,2026-02-24,Fatima Al-Zahra,High,S2 - Critical,Open,Performance / Profiling,Tools & Infra Team,Philips,,Performance,ROCm 6.4,ROCm 6.2,2026-02-27,
ROCm-1042,RCCL (Comms): rocgdb breakpoints not hitting in device code,2026-01-17,Mei Liu,Low,S4 - Minor,In Progress,RCCL (Comms),Runtime Team,SAM,Fatima Al-Zahra,RCCL,ROCm 7.0,ROCm 6.3,2026-02-23,
ROCm-1043,ROCm Installer: rocgdb breakpoints not hitting in device code,2025-10-23,Suman Dey,Medium,S3 - Major,Resolved,ROCm Installer / Packaging,Release Engineering,Suma,Priya Sharma,ROCm Installer,ROCm 6.3,ROCm 6.1,2026-01-16,Won't Fix
ROCm-1044,Driver: HIP event timing reports negative duration,2025-09-05,Aisha Patel,Critical,S2 - Critical,Resolved,Driver / KFD,Driver Team,SAM,Mei Liu,Driver,ROCm 7.0,ROCm 6.2,2025-09-23,Cannot Reproduce
ROCm-1045,Driver: Build failure on Ubuntu 22.04 with ROCm 6.3,2025-12-10,Carlos Rivera,High,S2 - Critical,Closed,Driver / KFD,Driver Team,SAM,Suman Dey,Driver,ROCm 7.0,ROCm 6.1,2025-12-23,Cannot Reproduce
ROCm-1046,Driver: Documentation missing for hipDeviceSynchronize edge cases,2026-01-19,Rania Hassan,High,S2 - Critical,In Progress,Driver / KFD,Driver Team,SAM,Jake Thompson,Driver,ROCm 7.0,ROCm 6.3,2026-02-17,
ROCm-1047,ROCm Debugger (ROCgdb): rocFFT output NaN for specific input dimensions,2026-01-06,David Kim,Medium,S4 - Minor,Closed,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Mei Liu,ROCm Debugger,Backlog,ROCm 6.2,2026-02-05,Duplicate
ROCm-1048,ROCm Installer: Incorrect result from hipFFT_plan for large tensors,2026-02-06,Leila Nouri,High,S3 - Major,Open,ROCm Installer / Packaging,Release Engineering,Suma,,ROCm Installer,Backlog,ROCm 6.1,2026-02-13,
ROCm-1049,ROCm Debugger (ROCgdb): Hang detected in multi-GPU hipFFT_plan launch,2025-10-04,Mei Liu,High,S3 - Major,Resolved,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Priya Sharma,ROCm Debugger,ROCm 7.0,ROCm 6.1,2025-11-27,Cannot Reproduce
ROCm-1050,Documentation: Hang detected in multi-GPU rocblas_trsm launch,2025-10-21,Rania Hassan,Low,S4 - Minor,Closed,Documentation,Documentation Team,Ravi,Ivan Petrov,Documentation,ROCm 6.4,ROCm 6.2,2025-10-26,By Design
ROCm-1051,ROCm Installer: Crash observed on MI300X when calling hipGraphCreate,2025-12-15,Jake Thompson,Medium,S3 - Major,In Progress,ROCm Installer / Packaging,Release Engineering,Suma,Mei Liu,ROCm Installer,ROCm 7.0,ROCm 6.3,2026-02-08,
ROCm-1052,rocFFT: ROCm-SMI reports wrong temperature for MI250,2025-10-11,Alex Chen,Low,S4 - Minor,Won't Fix,rocFFT,Math Libraries Team,Kumar,Leila Nouri,rocFFT,ROCm 6.2,ROCm 6.3,2025-10-17,Cannot Reproduce
ROCm-1053,ROCm Installer: API miopen_conv not returning expected error code,2025-12-17,Rania Hassan,High,S3 - Major,Open,ROCm Installer / Packaging,Release Engineering,Suma,,ROCm Installer,ROCm 6.4,ROCm 6.2,2026-02-03,
ROCm-1054,ROCBlas: Crash observed on MI300X when calling hipDeviceSynchronize,2025-11-09,Rania Hassan,Low,S4 - Minor,Open,ROCBlas / Math Libraries,Math Libraries Team,Kumar,,ROCBlas,ROCm 6.3,ROCm 6.3,2026-01-08,
ROCm-1055,ROCm-SMI: ROCm-SMI reports wrong temperature for MI250,2025-09-16,Marcus Johnson,Low,S4 - Minor,Resolved,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Ivan Petrov,ROCm-SMI,ROCm 7.0,ROCm 6.3,2025-11-06,Fixed
ROCm-1056,ROCm Installer: ROCm-SMI reports wrong temperature for MI250,2025-09-28,Yuki Tanaka,Medium,S3 - Major,In Progress,ROCm Installer / Packaging,Release Engineering,Suma,Marcus Johnson,ROCm Installer,ROCm 6.2,ROCm 6.1,2025-12-31,
ROCm-1057,Documentation: Hang detected in multi-GPU miopen_conv launch,2025-11-17,Fatima Al-Zahra,High,S2 - Critical,Closed,Documentation,Documentation Team,Ravi,Leila Nouri,Documentation,ROCm 6.3,ROCm 6.1,2026-02-11,Cannot Reproduce
ROCm-1058,Documentation: Hang detected in multi-GPU hipStreamCreate launch,2026-02-24,Priya Sharma,Low,S4 - Minor,Resolved,Documentation,Documentation Team,Ravi,Rania Hassan,Documentation,Backlog,ROCm 6.3,2026-02-24,By Design
ROCm-1059,ROCBlas: RCCL AllReduce giving wrong result with 8 GPUs,2025-11-25,Marcus Johnson,Critical,S2 - Critical,Closed,ROCBlas / Math Libraries,Math Libraries Team,Kumar,Rania Hassan,ROCBlas,Backlog,ROCm 6.3,2026-01-19,Cannot Reproduce
ROCm-1060,ROCm Debugger (ROCgdb): API miopen_conv not returning expected error code,2025-11-07,David Kim,Medium,S4 - Minor,In Progress,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,David Kim,ROCm Debugger,ROCm 7.0,ROCm 6.1,2026-01-21,
ROCm-1061,rocSPARSE: Installer fails silently on RHEL 9.x,2025-12-26,Suman Dey,Medium,S4 - Minor,In Progress,rocSPARSE,Math Libraries Team,Kumar,Marcus Johnson,rocSPARSE,ROCm 6.4,ROCm 6.2,2026-02-05,
ROCm-1062,rocFFT: Build failure on Ubuntu 22.04 with ROCm 6.2,2025-11-09,Carlos Rivera,Low,S4 - Minor,In Review,rocFFT,Math Libraries Team,Kumar,Priya Sharma,rocFFT,ROCm 6.3,ROCm 6.3,2025-12-03,
ROCm-1063,HIP Runtime: Build failure on Ubuntu 22.04 with ROCm 6.3,2025-12-29,Aisha Patel,Medium,S4 - Minor,In Progress,HIP Runtime,Runtime Team,SAM,David Kim,HIP Runtime,ROCm 6.4,ROCm 6.3,2026-01-03,
ROCm-1064,ROCm Debugger (ROCgdb): RCCL AllReduce giving wrong result with 8 GPUs,2026-01-25,David Kim,Medium,S4 - Minor,In Progress,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Rania Hassan,ROCm Debugger,ROCm 6.4,ROCm 6.1,2026-02-15,
ROCm-1065,rocFFT: Build failure on Ubuntu 22.04 with ROCm 6.3,2025-09-29,Mei Liu,Medium,S4 - Minor,Open,rocFFT,Math Libraries Team,Kumar,,rocFFT,ROCm 6.4,ROCm 6.3,2025-11-15,
ROCm-1066,ROCm-SMI: Memory leak in rccl_allreduce under stress workload,2026-01-27,Yuki Tanaka,Low,S4 - Minor,Won't Fix,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Aisha Patel,ROCm-SMI,Backlog,ROCm 6.1,2026-02-14,Duplicate
ROCm-1067,ROCm Debugger (ROCgdb): Kernel launch overhead increased by 2x in ROCm 6.1,2025-11-08,Ivan Petrov,Critical,S1 - Blocker,In Review,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Jake Thompson,ROCm Debugger,ROCm 6.2,ROCm 6.3,2025-11-24,
ROCm-1068,HIP Runtime: Installer fails silently on RHEL 9.x,2025-11-10,Tyler Brooks,Medium,S4 - Minor,In Progress,HIP Runtime,Runtime Team,SAM,Ivan Petrov,HIP Runtime,ROCm 7.0,ROCm 6.1,2025-12-12,
ROCm-1069,Driver: Performance regression after upgrading to ROCm 6.1,2026-01-24,Carlos Rivera,Medium,S3 - Major,Open,Driver / KFD,Driver Team,SAM,,Driver,ROCm 7.0,ROCm 6.3,2026-02-12,
ROCm-1070,RCCL (Comms): Incorrect result from rocsparseDcsrmv for large tensors,2026-01-29,David Kim,Low,S4 - Minor,Resolved,RCCL (Comms),Runtime Team,SAM,Leila Nouri,RCCL,Backlog,ROCm 6.3,2026-02-12,Cannot Reproduce
ROCm-1071,ROCm-SMI: rocgdb breakpoints not hitting in device code,2025-09-14,Aisha Patel,Medium,S3 - Major,Won't Fix,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Aisha Patel,ROCm-SMI,ROCm 6.3,ROCm 6.3,2026-02-21,Duplicate
ROCm-1072,Documentation: Crash observed on MI300X when calling miopen_conv,2025-09-18,Yuki Tanaka,High,S3 - Major,In Progress,Documentation,Documentation Team,Ravi,David Kim,Documentation,ROCm 6.4,ROCm 6.3,2026-01-16,
ROCm-1073,Driver: Documentation missing for miopen_conv edge cases,2025-12-24,Marcus Johnson,Critical,S1 - Blocker,Closed,Driver / KFD,Driver Team,SAM,Tyler Brooks,Driver,ROCm 6.4,ROCm 6.1,2026-01-18,Fixed
ROCm-1074,Documentation: Performance regression after upgrading to ROCm 6.3,2025-09-17,David Kim,Critical,S2 - Critical,In Review,Documentation,Documentation Team,Ravi,Mei Liu,Documentation,ROCm 7.0,ROCm 6.2,2025-11-29,
ROCm-1075,HIP Runtime: RCCL AllReduce giving wrong result with 8 GPUs,2026-01-05,David Kim,Medium,S4 - Minor,Open,HIP Runtime,Runtime Team,SAM,,HIP Runtime,ROCm 6.2,ROCm 6.1,2026-02-01,
ROCm-1076,Performance: Crash observed on MI300X when calling rocblas_gemm,2025-10-27,Carlos Rivera,Low,S4 - Minor,Won't Fix,Performance / Profiling,Tools & Infra Team,Philips,David Kim,Performance,ROCm 7.0,ROCm 6.2,2026-02-09,By Design
ROCm-1077,rocSPARSE: Hang detected in multi-GPU hipFFT_plan launch,2025-10-15,Jake Thompson,Low,S4 - Minor,Resolved,rocSPARSE,Math Libraries Team,Kumar,Mei Liu,rocSPARSE,ROCm 6.2,ROCm 6.1,2025-11-07,Duplicate
ROCm-1078,RCCL (Comms): Crash observed on MI300X when calling rocblas_trsm,2025-11-22,Rania Hassan,Medium,S4 - Minor,In Progress,RCCL (Comms),Runtime Team,SAM,Carlos Rivera,RCCL,ROCm 6.4,ROCm 6.2,2026-02-27,
ROCm-1079,HIP Runtime: Crash observed on MI300X when calling miopen_conv,2025-09-28,Rania Hassan,Low,S4 - Minor,Closed,HIP Runtime,Runtime Team,SAM,Mei Liu,HIP Runtime,Backlog,ROCm 6.2,2026-02-13,Cannot Reproduce
ROCm-1080,rocFFT: HIP event timing reports negative duration,2026-02-06,Leila Nouri,Medium,S3 - Major,Open,rocFFT,Math Libraries Team,Kumar,,rocFFT,ROCm 7.0,ROCm 6.1,2026-02-10,
ROCm-1081,ROCm Installer: Hang detected in multi-GPU hipLaunchKernelGGL launch,2025-09-06,Ivan Petrov,Low,S4 - Minor,Resolved,ROCm Installer / Packaging,Release Engineering,Suma,Alex Chen,ROCm Installer,ROCm 6.2,ROCm 6.2,2026-01-25,By Design
ROCm-1082,ROCm Debugger (ROCgdb): RCCL AllReduce giving wrong result with 8 GPUs,2025-09-29,Ivan Petrov,Medium,S3 - Major,In Progress,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Carlos Rivera,ROCm Debugger,ROCm 7.0,ROCm 6.2,2025-12-12,
ROCm-1083,Documentation: HIP event timing reports negative duration,2025-10-31,David Kim,Medium,S3 - Major,In Progress,Documentation,Documentation Team,Ravi,Yuki Tanaka,Documentation,ROCm 7.0,ROCm 6.2,2026-01-04,
ROCm-1084,ROCm Installer: ROCm-SMI reports wrong temperature for MI250,2026-01-06,Ivan Petrov,High,S2 - Critical,In Progress,ROCm Installer / Packaging,Release Engineering,Suma,Fatima Al-Zahra,ROCm Installer,ROCm 6.3,ROCm 6.2,2026-02-28,
ROCm-1085,rocFFT: HIP event timing reports negative duration,2026-01-14,Yuki Tanaka,Medium,S4 - Minor,In Review,rocFFT,Math Libraries Team,Kumar,Mei Liu,rocFFT,ROCm 6.3,ROCm 6.3,2026-02-07,
ROCm-1086,ROCm Debugger (ROCgdb): RCCL AllReduce giving wrong result with 8 GPUs,2025-12-06,Jake Thompson,High,S3 - Major,Open,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,,ROCm Debugger,ROCm 6.3,ROCm 6.2,2026-02-04,
ROCm-1087,rocSPARSE: Crash observed on MI300X when calling rocblas_gemm,2025-09-08,Ivan Petrov,High,S3 - Major,Closed,rocSPARSE,Math Libraries Team,Kumar,Carlos Rivera,rocSPARSE,ROCm 6.3,ROCm 6.1,2025-10-03,Cannot Reproduce
ROCm-1088,ROCm Debugger (ROCgdb): Performance regression after upgrading to ROCm 6.3,2025-12-28,Ivan Petrov,Low,S4 - Minor,In Progress,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Jake Thompson,ROCm Debugger,Backlog,ROCm 6.2,2026-01-22,
ROCm-1089,HIP Runtime: rocgdb breakpoints not hitting in device code,2025-11-19,Aisha Patel,Medium,S4 - Minor,Closed,HIP Runtime,Runtime Team,SAM,Priya Sharma,HIP Runtime,ROCm 6.2,ROCm 6.2,2026-02-06,Won't Fix
ROCm-1090,ROCm Debugger (ROCgdb): Crash observed on MI300X when calling hipMalloc,2025-09-24,Suman Dey,Low,S4 - Minor,In Progress,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Leila Nouri,ROCm Debugger,ROCm 6.2,ROCm 6.2,2025-12-09,
ROCm-1091,RCCL (Comms): rocgdb breakpoints not hitting in device code,2025-11-29,Marcus Johnson,Medium,S3 - Major,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,ROCm 6.2,ROCm 6.3,2026-02-09,
ROCm-1092,Documentation: Installer fails silently on RHEL 9.x,2025-12-05,Mei Liu,Medium,S3 - Major,In Progress,Documentation,Documentation Team,Ravi,Aisha Patel,Documentation,ROCm 6.4,ROCm 6.3,2025-12-23,
ROCm-1093,Performance: Installer fails silently on RHEL 9.x,2025-09-01,David Kim,Low,S4 - Minor,Closed,Performance / Profiling,Tools & Infra Team,Philips,Marcus Johnson,Performance,ROCm 7.0,ROCm 6.3,2026-01-18,Fixed
ROCm-1094,RCCL (Comms): Installer fails silently on RHEL 9.x,2025-11-02,Tyler Brooks,Medium,S4 - Minor,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,Backlog,ROCm 6.2,2026-02-19,
ROCm-1095,Performance: Incorrect result from hipMalloc for large tensors,2026-01-24,Ivan Petrov,High,S3 - Major,Open,Performance / Profiling,Tools & Infra Team,Philips,,Performance,ROCm 6.2,ROCm 6.3,2026-02-18,
ROCm-1096,ROCm-SMI: Build failure on Ubuntu 22.04 with ROCm 6.1,2026-01-04,Fatima Al-Zahra,Low,S4 - Minor,Resolved,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Suman Dey,ROCm-SMI,ROCm 6.4,ROCm 6.3,2026-02-11,Duplicate
ROCm-1097,Performance: rocFFT output NaN for specific input dimensions,2026-02-14,Fatima Al-Zahra,Medium,S3 - Major,Resolved,Performance / Profiling,Tools & Infra Team,Philips,Alex Chen,Performance,ROCm 6.4,ROCm 6.3,2026-02-24,Duplicate
ROCm-1098,RCCL (Comms): Memory leak in hipDeviceSynchronize under stress workload,2025-10-02,Carlos Rivera,High,S3 - Major,In Progress,RCCL (Comms),Runtime Team,SAM,Aisha Patel,RCCL,Backlog,ROCm 6.2,2025-11-15,
ROCm-1099,ROCm Installer: Installer fails silently on RHEL 9.x,2025-10-11,Suman Dey,High,S3 - Major,Won't Fix,ROCm Installer / Packaging,Release Engineering,Suma,Suman Dey,ROCm Installer,ROCm 6.3,ROCm 6.3,2026-01-05,Fixed
ROCm-1100,RCCL (Comms): Incorrect result from hipDeviceSynchronize for large tensors,2026-02-18,Mei Liu,Low,S4 - Minor,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,ROCm 6.4,ROCm 6.3,2026-02-18,
ROCm-1101,MIOpen: Installer fails silently on RHEL 9.x,2026-02-18,Leila Nouri,High,S3 - Major,Closed,MIOpen,Math Libraries Team,Kumar,Jake Thompson,MIOpen,Backlog,ROCm 6.2,2026-02-19,Won't Fix
ROCm-1102,rocSPARSE: Performance regression after upgrading to ROCm 6.1,2026-02-02,Alex Chen,High,S2 - Critical,Resolved,rocSPARSE,Math Libraries Team,Kumar,David Kim,rocSPARSE,ROCm 6.4,ROCm 6.2,2026-02-24,Cannot Reproduce
ROCm-1103,MIOpen: ROCm-SMI reports wrong temperature for MI250,2025-09-28,Jake Thompson,High,S2 - Critical,In Progress,MIOpen,Math Libraries Team,Kumar,Tyler Brooks,MIOpen,ROCm 6.2,ROCm 6.2,2026-02-13,
ROCm-1104,MIOpen: Installer fails silently on RHEL 9.x,2026-02-03,Ivan Petrov,Medium,S4 - Minor,Open,MIOpen,Math Libraries Team,Kumar,,MIOpen,ROCm 6.4,ROCm 6.1,2026-02-09,
ROCm-1105,ROCm Installer: Performance regression after upgrading to ROCm 6.1,2026-02-21,Jake Thompson,Medium,S4 - Minor,Open,ROCm Installer / Packaging,Release Engineering,Suma,,ROCm Installer,ROCm 6.3,ROCm 6.3,2026-02-24,
ROCm-1106,MIOpen: Memory leak in rocsparseDcsrmv under stress workload,2026-02-09,Priya Sharma,Medium,S3 - Major,Open,MIOpen,Math Libraries Team,Kumar,,MIOpen,Backlog,ROCm 6.1,2026-02-16,
